intervention_id,provider_name, pdu_ref_id,status
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,bedfordshire,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,cambridgeshire,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,essex-north,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,essex-south,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,hertfordshire,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,norfolk,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,northamptonshire,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,suffolk,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,county-durham-and-darlington,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,gateshead-and-south-tyneside,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,newcastle-upon-tyne,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,north-tyneside-and-northumberland,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,redcar-cleveland-and-middlesbrough,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,stockton-and-hartlepool,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,sunderland,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,cardiff-and-the-vale,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,cwm-taf-morgannwg,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,dyfed-powys,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,gwent,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,north-wales,
554b9fd0-6e66-4f1a-ad67-4f47503d3270,,swansea-neath-and-port-talbot,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,barking-dagenham-and-havering,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,camden-and-islington,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,croydon,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,ealing-and-hillingdon,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,enfield-and-haringey,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,hammersmith-fulham-kensington-chelsea-and-westminster,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,lambeth,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,lewisham-and-bromley,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,redbridge-and-waltham-forest,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,southwark,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,wandsworth-merton-and-sutton,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,birmingham-central-and-south,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,birmingham-north-east-and-solihull,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,coventry,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,dudley-and-sandwell,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,herefordshire-shropshire-and-telford,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,staffordshire-and-stoke,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,walsall-and-wolverhampton,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,warwickshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,worcestershire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,buckinghamshire-and-milton-keynes,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-berkshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,hampshire-north-and-east,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,oxfordshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,portsmouth-and-isle-of-wight,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,southampton-eastleigh-and-new-forest,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,west-berkshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,bath-and-north-somerset,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,bristol-and-south-gloucestershire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,cornwall-and-isles-of-scilly,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,devon-and-torbay,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,dorset,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,gloucestershire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,plymouth,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,somerset,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,swindon-and-wiltshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,bradford-and-calderdale,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,bradford-and-calderdale,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,wakefield,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,leeds,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,kirklees,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,hull-and-east-riding,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,north-and-north-east-lincolnshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,north-and-north-east-lincolnshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,york,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,north-yorkshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,north-yorkshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,north-yorkshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,sheffield,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,doncaster,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,barnsley-and-rotherham,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,barnsley-and-rotherham,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,blackburn,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,central-lancashire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,cheshire-east,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,cheshire-west,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,cumbria,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-lancashire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,knowsley-and-st-helens,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,liverpool-north,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,liverpool-south,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,north-west-lancashire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,sefton,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,warrington-and-halton,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,wirral,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,derby-city,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,derbyshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-and-west-lincolnshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,leicester-leicestershire-and-rutland,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,nottingham-city,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,nottinghamshire,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-kent,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-kent,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-kent,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-kent,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-kent,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,surrey,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-sussex,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,east-sussex,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,west-sussex,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,bath-and-north-somerset,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,bristol-and-south-gloucestershire,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,cornwall-and-isles-of-scilly,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,devon-and-torbay,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,dorset,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,gloucestershire,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,plymouth,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,somerset,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,swindon-and-wiltshire,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,county-durham-and-darlington,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,gateshead-and-south-tyneside,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,newcastle-upon-tyne,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,north-tyneside-and-northumberland,
